Key,Title,URL
abolhasani2025OntokgenGenuineOntology,OntoKGen: A Genuine Ontology and Knowledge Graph Generator Using Large Language Model,https://ieeexplore.ieee.org/document/10935139
ayad2025OntologyPopulationWith,Ontology Population With Large Language Models (LLMs): A Case Study on Asbestos Ontology,https://journals.sagepub.com/doi/10.1177/15705838251334528
chen2024ExtractingStructureInformation,Extracting Structure Information from Narrative Medical Reports based on LLMs,https://ieeexplore.ieee.org/document/10822688
chen2024TowardControllableGenerative,Toward Controllable Generative Design: A Conceptual Design Generation Approach Leveraging the Function–Behavior–Structure Ontology and Large Language Models,https://asmedigitalcollection.asme.org/mechanicaldesign/article-abstract/146/12/121401/1200469/Toward-Controllable-Generative-Design-A-Conceptual?redirectedFrom=fulltext
chow2024SemanticSearchUsing,Semantic Search Using LLM-Aided Topic Generation on Knowledge Graphs for Paper Discovery,https://ieeexplore.ieee.org/document/10800417
gupta2024EchoEnvironmentalSound,ECHO: Environmental Sound Classification with Hierarchical Ontology-guided Semi-Supervised Learning,https://ieeexplore.ieee.org/document/10677303
guryanov2025ApproachAutomatedOntology,An Approach to Automated Ontology Extraction From Technological Documentation Using NLP and LLM,https://ieeexplore.ieee.org/document/11028174
he2025StaticDynamicEmbedding,Static and Dynamic Embedding Approaches to Identify Is-A Relations in SNOMED CT,https://ieeexplore.ieee.org/document/11081553
ho2024LeveragingMultiAgent,Leveraging Multi-Agent Systems and Large Language Models for Diabetes Knowledge Graphs,https://ieeexplore.ieee.org/document/10825608
khalov2025AutomaticMappingUpper,Automatic Mapping of Upper-Level Ontology Classes (DOLCE) and Domain-Specific Ontology ITSMO,https://ieeexplore.ieee.org/document/11082040
kougioumtzidou2024EndEndFramework,An End-to-End Framework for Cybersecurity Taxonomy and Ontology Generation and Updating,https://ieeexplore.ieee.org/document/10679346
li2024LargeLanguageModel,A Large Language Model Based Knowledge Mining Method for Improving the Reliability of Fire Water Systems,https://ieeexplore.ieee.org/document/10772514
